                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.2045,                 2.0053,                 1.7148,                0.82279,                0.76151,                0.83088,                0.37492,                 1.8613,                 1.1288,                 1.4681,              0.0033085,              0.0033085,              0.0033085
                      1,                 1.9132,                 1.2643,                 1.4359,                0.84887,                 0.7844,                0.84064,                0.37953,                 1.8318,                  1.084,                 1.4048,              0.0066089,              0.0066089,              0.0066089
                      2,                 1.8702,                  1.206,                  1.384,                0.78703,                0.68903,                0.73732,                0.32875,                   1.94,                 1.2886,                 1.5052,              0.0098764,              0.0098764,              0.0098764
                      3,                 1.8845,                 1.2043,                 1.4025,                0.82087,                0.72684,                0.79408,                0.37279,                 1.9108,                 1.1201,                 1.4977,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.8291,                  1.117,                 1.3728,                0.83755,                0.83414,                0.88448,                0.41745,                 1.7956,                 1.0076,                 1.3881,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.7799,                 1.0601,                 1.3457,                0.86092,                0.82956,                 0.8933,                0.44944,                  1.753,                 0.8781,                 1.4111,               0.009802,               0.009802,               0.009802
                      6,                 1.7244,                 1.0099,                 1.3252,                0.89824,                0.86156,                0.90459,                0.45333,                 1.7727,                0.83049,                 1.4118,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.6905,                0.96857,                 1.3034,                0.86826,                0.85563,                0.89321,                 0.4097,                 1.8012,                0.89842,                 1.3843,               0.009703,               0.009703,               0.009703
                      8,                 1.6505,                0.93412,                  1.283,                0.88451,                 0.8915,                0.91205,                0.45668,                 1.7014,                0.78825,                 1.3605,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.6135,                0.90222,                 1.2665,                0.91693,                0.89268,                0.92474,                0.45782,                 1.7087,                0.74502,                 1.3706,               0.009604,               0.009604,               0.009604
                     10,                  1.578,                0.87096,                 1.2524,                0.92192,                0.87857,                0.92407,                 0.4927,                 1.6878,                0.75217,                  1.357,              0.0095545,              0.0095545,              0.0095545
                     11,                  1.539,                0.84501,                 1.2279,                0.91473,                0.89618,                0.92713,                0.48177,                 1.7194,                0.73752,                 1.3656,               0.009505,               0.009505,               0.009505
                     12,                 1.5176,                0.82296,                 1.2172,                 0.9008,                0.89138,                0.92092,                0.47762,                 1.7071,                0.69642,                 1.3724,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.4906,                0.80328,                 1.1978,                0.91653,                0.91181,                0.93737,                0.48549,                 1.7263,                0.69541,                 1.3602,               0.009406,               0.009406,               0.009406
                     14,                 1.4589,                0.78591,                 1.1883,                0.92162,                0.90258,                0.93962,                0.48631,                 1.7132,                0.68208,                  1.367,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.4301,                0.77453,                 1.1765,                0.91182,                0.89138,                0.92129,                0.48211,                 1.7219,                0.70179,                 1.3661,               0.009307,               0.009307,               0.009307
                     16,                 1.4159,                0.75857,                 1.1688,                0.91957,                0.90234,                0.93341,                 0.4957,                 1.6783,                0.67117,                 1.3634,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.3837,                0.74195,                 1.1555,                0.93276,                0.91022,                0.94266,                0.49895,                 1.7006,                0.65172,                 1.3838,               0.009208,               0.009208,               0.009208
                     18,                 1.3637,                0.72175,                 1.1421,                0.91372,                0.89957,                  0.935,                0.49265,                 1.6933,                0.66087,                 1.3661,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.3432,                0.71019,                 1.1365,                0.93046,                0.91358,                0.94867,                0.49785,                 1.7043,                0.64607,                 1.3761,               0.009109,               0.009109,               0.009109
